community_num,community,population,tracts,broad_walk_min,museum_walk_min,broad_within_1mi,museum_within_1mi,poverty_rate,no_vehicle_rate,black_share,hispanic_share,median_income
48,Calumet Heights,11229.0,5,14.667509883304424,14.667509883304424,0.7478849407783418,0.7478849407783418,0.18477139637740617,0.17406114236325412,0.9347225932852435,0.0559266185768991,64925.16279276872
49,Roseland,36635.0,13,22.62432640746657,22.62432640746657,0.42571311587279925,0.42571311587279925,0.22114892588348264,0.22242287163798127,0.9283199126518357,0.03149993175924662,55318.80928074246
50,Pullman,6744.0,3,10.986218281696658,10.986218281696658,1.0,1.0,0.17344798629414154,0.12996355605455698,0.7746144721233689,0.07725385527876631,61948.43890865955
51,South Deering,12854.0,4,23.44219666588458,23.44219666588458,0.5243503967636534,0.5243503967636534,0.29965685469520736,0.22187607643954488,0.6275089466313988,0.3079975105025673,49729.43138322701
52,East Side,22687.0,6,44.90497103806825,44.90497103806825,0.0,0.0,0.19113910377317195,0.11143144372596939,0.029223784546215895,0.8338696169612554,64191.09128575836
53,West Pullman,24549.0,8,33.9536994990348,34.1738641949408,0.06835308973888957,0.06835308973888957,0.25611974499201157,0.24576677838776476,0.8955558271212677,0.0859098130270072,53906.438714407916
54,Riverdale,7518.0,2,44.33893892571843,44.33893892571843,0.0,0.0,0.6198457036445864,0.32894145866731683,0.9481245011971269,0.01223729715349827,16989.81058792232
55,Hegewisch,8853.0,2,43.49639263696721,43.49639263696721,0.0,0.0,0.09760696352106045,0.09314834522446,0.09827177228058286,0.5253586354907941,61827.45385744945
56,Garfield Ridge,36732.0,10,58.022903780445475,58.92055707842,0.0,0.0,0.06760553140652993,0.08213077263633026,0.0369432647283023,0.5907927692475226,93994.8348851138
57,Archer Heights,13414.0,5,38.065253020011475,41.46412304818241,0.0,0.0,0.10574208589366128,0.2575286344767504,0.01572983450126733,0.7946175637393768,67303.92665663983
58,Brighton Park,42994.0,10,26.16885746983527,28.777152121700396,0.21930967111690003,0.21930967111690003,0.17854470447198545,0.11850548608123776,0.025910592175652416,0.7878308601200168,64839.42573382332
59,Mckinley Park,14854.0,5,19.107923085695013,19.187228388452784,0.651407028409856,0.651407028409856,0.13879301162809873,0.1348783958865258,0.03830618015349401,0.5696108792244513,86638.70405278039
60,Bridgeport,33675.0,10,10.292528405850657,10.886790208838187,1.0,1.0,0.17603521246340245,0.20146030393542885,0.02969561989606533,0.24228656273199703,78067.55159613957
61,New City,36914.0,15,22.169388541336485,22.37844528147774,0.3624911957522891,0.3624911957522891,0.2791543107456281,0.18568075713062995,0.21531126401907136,0.656146719401853,58687.16150191571
62,West Elsdon,17901.0,4,26.182661180279112,26.182661180279112,0.0,0.0,0.10842969666499078,0.11470810271462892,0.01329534662867996,0.8313502038992235,79051.53410423998
63,Gage Park,39307.0,8,13.952440245001414,14.729724019497867,0.7661739639250006,0.7661739639250006,0.15944475660526944,0.19031717932608994,0.066044216042944,0.8872211056554812,61920.55972218689
64,Clearing,23629.0,8,50.264382749551515,50.264382749551515,0.06297346481019087,0.06297346481019087,0.08059777720015901,0.06879639811983285,0.009352913792373779,0.6661306022260781,80559.70650471878
65,West Lawn,31942.0,6,12.006675958800596,12.006675958800596,1.0,1.0,0.1804571409080012,0.09968082191195252,0.022885229478429654,0.8797194915784861,69928.41644230168
66,Chicago Lawn,54409.0,11,10.239811212089128,27.04999796008038,1.0,0.19539046848866914,0.2169939622091024,0.2128896116149093,0.334558620816409,0.6102666838206914,54416.98391810178
67,West Englewood,28144.0,19,23.970304287811675,38.40714061552855,0.29643973848777716,0.10801591813530415,0.3210316438346506,0.2752014393251624,0.6851193860147812,0.2748010233086981,42407.032672374946
68,Englewood,23195.0,11,26.183982851808427,36.14820120092911,0.4144427678378961,0.09911618883380038,0.33562271788451925,0.42109196635415813,0.867902565208019,0.09502047855141194,31831.310885966803
69,Greater Grand Crossing,29143.0,12,23.550354768951454,33.55878607118589,0.3741893422091068,0.07717119033730227,0.2965226392509015,0.4152796182053442,0.8845005661736952,0.07236729231719452,42430.190749064954
70,Ashburn,42007.0,8,35.06472710998572,41.344954890474874,0.080462780012855,0.0,0.11143229337918875,0.07903375230058146,0.430642511962292,0.4652081795891161,84085.39352964982
71,Auburn Gresham,43779.0,15,33.497228352538244,39.95780677169594,0.03440005482080449,0.03440005482080449,0.27998353164372974,0.2626493817524288,0.932753146485758,0.045432741725484824,48686.68299869801
72,Beverly,19521.0,7,11.73063968355153,11.733089365759536,0.9012857947851032,0.9012857947851032,0.05891919308125536,0.051820985407217905,0.314123251882588,0.06623636084216997,131824.39229547666
73,Washington Heights,24851.0,8,21.607672801272038,21.607672801272038,0.41772966882620416,0.41772966882620416,0.16285710163134293,0.16552092572644736,0.9307874934610277,0.036819443885557926,64725.931391090904
74,Mount Greenwood,19059.0,4,32.87340650558634,41.83176017949681,0.15756335589485282,0.0,0.0537881413782726,0.035247850780162314,0.03767249068681463,0.0934991342672753,113248.72585130384
75,Morgan Park,20865.0,6,14.899752569518526,20.21656076526007,0.6806134675293554,0.2670500838725138,0.17776602273779848,0.10877204277254796,0.6144260723699976,0.056745746465372636,74566.99228372873
76,Ohare,14145.0,4,50.751455474714945,50.751455474714945,0.0,0.0,0.08693667089091528,0.07715680834737783,0.061223047013078825,0.11396253092965712,81788.00402969247
77,Edgewater,53846.0,16,9.96734205409796,11.268068458375682,1.0,1.0,0.16692612295991038,0.3621562897704936,0.12281320803773725,0.17026334360955317,77862.82206663447
